자치구별(1),자치구별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
자치구별(1),자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
자치구별(1),자치구별(2),소계,한국계 중국인,중국(한국계 중국인 제외),미국,타이완,일본,베트남,몽골,필리핀,캐나다,인도,우즈베키스탄,영국,프랑스,타이,러시아,독일,오스트레일리아,네팔,파키스탄,인도네시아,나이지리아,말레이시아,방글라데시,캄 보 디 아,사우디아라비아,홍       콩,뉴질랜드,카자흐스탄,스 리 랑 카,남아프리카 공화국,미  얀  마,싱 가 포 르,이       란,브  라  질,아 일 랜 드,스  웨  덴,이 탈 리 아,터       키,네 덜 란 드,키르기스스탄,멕  시  코,스  페  인,우크라이나,스  위  스,핀  란  드,가       나,벨  기  에,폴  란  드,이  집  트,오스트리아,수       단,아르헨티나,오       만,이 스 라 엘,페       루,덴  마  크,모  로  코,이  라  크,기       타
자치구별(1),자치구별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
,양천구,"3,185","1,334",547,142,178,131,222,83,108,25,10,38,27,16,37,40,5,9,6,15,16,1,6,4,22,-,16,5,33,-,7,8,1,2,2,8,4,-,3,3,2,3,2,3,1,-,-,1,5,8,2,-,1,-,-,4,1,12,-,26
,강서구,"5,453","1,943",936,196,262,352,433,74,128,50,46,77,56,26,103,80,22,26,11,23,38,7,20,16,42,-,25,16,22,57,7,86,6,6,19,9,1,19,8,4,5,10,8,6,6,1,8,10,2,17,7,-,3,-,1,3,3,15,-,96
,구로구,"24,409","17,356","5,180",114,157,206,459,103,103,28,27,52,26,15,64,42,7,10,16,26,30,4,33,19,31,1,19,3,45,13,5,87,6,4,6,1,1,7,13,-,10,4,1,6,2,3,1,1,5,5,1,-,1,-,-,-,2,6,-,42
,금천구,"14,080","10,291","2,435",54,79,108,394,99,106,12,15,30,11,15,37,29,3,2,38,21,20,2,6,12,58,-,13,1,6,13,2,56,1,7,7,2,2,4,7,2,8,2,5,7,-,-,2,1,2,3,1,-,-,-,3,4,-,6,3,33
,영등포구,"24,071","17,371","4,406",256,327,208,318,45,69,55,43,33,54,33,58,50,19,17,68,25,203,4,27,13,46,2,44,11,13,21,10,42,12,2,10,12,1,11,7,1,2,6,10,5,3,2,1,5,5,4,6,3,-,-,2,-,3,10,-,57
,동작구,"8,881","3,480","2,703",202,128,272,962,70,50,28,55,40,38,55,57,64,26,8,12,37,29,14,11,27,21,-,20,7,23,17,9,30,4,11,10,7,4,9,8,14,9,2,27,9,4,3,4,2,3,13,-,2,-,1,2,7,3,16,3,209
,관악구,"13,750","6,450","2,468",299,174,346,884,344,137,45,169,227,105,92,158,153,93,24,57,54,122,23,101,93,56,2,51,7,56,39,8,68,15,61,36,14,15,34,53,25,16,26,20,25,9,10,12,15,19,46,11,3,9,1,6,14,6,46,1,297
,서초구,"3,888",449,474,634,131,301,124,36,85,93,66,58,102,454,60,57,76,58,12,4,14,5,19,1,16,16,15,16,17,4,11,24,30,8,12,9,27,29,31,9,2,10,24,9,11,2,1,44,15,15,4,-,2,-,9,5,15,9,1,123
,강남구,"4,758",516,772,823,154,471,233,45,65,166,89,60,121,102,106,107,55,52,10,26,34,-,19,9,51,46,44,14,42,2,30,66,34,19,33,17,17,21,38,13,10,10,8,27,11,2,2,8,10,9,4,-,5,-,6,2,3,9,-,110
,송파구,"5,627","2,241",927,502,134,313,296,92,75,91,115,46,75,40,81,48,24,29,15,6,24,5,14,5,26,35,21,21,21,10,20,29,14,10,12,5,2,15,8,4,5,6,10,60,5,4,-,3,3,1,2,-,2,1,2,2,1,7,1,61
,강동구,"3,808","1,511",609,197,77,192,307,158,84,29,20,82,25,12,82,36,5,13,13,26,6,-,10,9,81,12,14,3,19,19,11,24,3,5,-,5,3,6,18,6,9,3,6,6,-,1,-,3,1,2,-,-,4,-,1,2,-,8,-,30
